ntree,maxnodes,nodesize,mtry,accTa,accTe
50,600,2,1,0.88609,0.84622
60,600,2,1,0.88397,0.84168
70,600,2,1,0.88415,0.84477
80,600,2,1,0.88547,0.84745
90,600,2,1,0.88574,0.85013
100,600,2,1,0.88583,0.85034
110,600,2,1,0.88742,0.84869
120,600,2,1,0.88689,0.84807
130,600,2,1,0.88742,0.84972
140,600,2,1,0.88821,0.85055
150,600,2,1,0.88795,0.8489
160,600,2,1,0.88848,0.85034
170,600,2,1,0.88892,0.84993
180,600,2,1,0.88848,0.85075
190,600,2,1,0.88909,0.84993
200,600,2,1,0.88927,0.85158
210,600,2,1,0.89068,0.8524
220,600,2,1,0.89068,0.85281
230,600,2,1,0.89033,0.85261
240,600,2,1,0.89068,0.85261
250,600,2,1,0.89024,0.8522
260,600,2,1,0.8906,0.8522
270,600,2,1,0.89086,0.85199
280,600,2,1,0.89104,0.85096
290,600,2,1,0.89139,0.85116
300,600,2,1,0.8913,0.8524
10,700,2,1,0.90102,0.84498
20,700,2,1,0.90102,0.85302
30,700,2,1,0.90322,0.85508
40,700,2,1,0.90472,0.86106
50,700,2,1,0.90402,0.86127
60,700,2,1,0.90393,0.86209
70,700,2,1,0.90419,0.86291
80,700,2,1,0.90252,0.8625
90,700,2,1,0.90446,0.8625
100,700,2,1,0.90464,0.86271
110,700,2,1,0.90525,0.86291
120,700,2,1,0.90499,0.8625
130,700,2,1,0.9049,0.8623
140,700,2,1,0.90561,0.86312
150,700,2,1,0.90614,0.86436
160,700,2,1,0.90596,0.86456
170,700,2,1,0.90667,0.86353
180,700,2,1,0.90658,0.86415
190,700,2,1,0.90658,0.86436
200,700,2,1,0.90711,0.86477
210,700,2,1,0.90684,0.86291
220,700,2,1,0.90605,0.86271
230,700,2,1,0.90631,0.86291
240,700,2,1,0.90623,0.8625
250,700,2,1,0.90667,0.86271
260,700,2,1,0.90667,0.86209
270,700,2,1,0.90693,0.86353
280,700,2,1,0.90675,0.86374
290,700,2,1,0.90675,0.86374
300,700,2,1,0.90728,0.86415
10,800,2,1,0.91806,0.85838
20,800,2,1,0.92009,0.86724
30,800,2,1,0.92168,0.86786
40,800,2,1,0.92389,0.86869
50,800,2,1,0.92291,0.86827
60,800,2,1,0.92212,0.86931
70,800,2,1,0.92203,0.87095
80,800,2,1,0.92212,0.86848
90,800,2,1,0.92212,0.87054
100,800,2,1,0.92274,0.87199
110,800,2,1,0.92265,0.8724
120,800,2,1,0.92256,0.87363
130,800,2,1,0.92221,0.87281
140,800,2,1,0.92336,0.87405
150,800,2,1,0.92344,0.87446
160,800,2,1,0.92291,0.87446
170,800,2,1,0.92362,0.87425
180,800,2,1,0.92327,0.87405
190,800,2,1,0.92291,0.87384
200,800,2,1,0.92318,0.87425
210,800,2,1,0.92274,0.87343
220,800,2,1,0.92318,0.87528
230,800,2,1,0.92265,0.87405
240,800,2,1,0.92221,0.8726
250,800,2,1,0.92221,0.87219
260,800,2,1,0.92221,0.87363
270,800,2,1,0.92274,0.87384
280,800,2,1,0.92318,0.87322
290,800,2,1,0.923,0.87467
300,800,2,1,0.92265,0.87425
10,900,2,1,0.92795,0.86621
20,900,2,1,0.93422,0.87528
30,900,2,1,0.93395,0.88106
40,900,2,1,0.93492,0.87796
50,900,2,1,0.93563,0.87982
60,900,2,1,0.93554,0.87941
70,900,2,1,0.93563,0.87879
80,900,2,1,0.93554,0.8792
90,900,2,1,0.93669,0.87941
100,900,2,1,0.93722,0.8792
110,900,2,1,0.93775,0.88167
120,900,2,1,0.93801,0.88209
130,900,2,1,0.93687,0.88106
140,900,2,1,0.93757,0.88167
150,900,2,1,0.93898,0.87961
160,900,2,1,0.93828,0.88064
170,900,2,1,0.93828,0.88126
180,900,2,1,0.9381,0.88147
190,900,2,1,0.93801,0.88085
200,900,2,1,0.93784,0.88064
210,900,2,1,0.9381,0.88044
220,900,2,1,0.93872,0.88106
230,900,2,1,0.93872,0.88147
240,900,2,1,0.93916,0.88106
250,900,2,1,0.9396,0.88126
260,900,2,1,0.93898,0.88085
270,900,2,1,0.93925,0.88085
280,900,2,1,0.93969,0.88167
290,900,2,1,0.93987,0.88147
300,900,2,1,0.94004,0.88188
10,1000,2,1,0.94525,0.87157
20,1000,2,1,0.94896,0.87982
30,1000,2,1,0.94985,0.88477
40,1000,2,1,0.95179,0.88765
50,1000,2,1,0.95205,0.89095
60,1000,2,1,0.95188,0.88848
70,1000,2,1,0.95258,0.89116
