"Beta_P7","Delta_FP2","Theta_FP2","d.g_P8","Theta_C4","Beta_P8","Beta_C4","Gamma_C3","d.g_FP2","Alpha_P7","Clas"
-0.0746266157529897,0.116435401096433,0.0697922901127466,1.08040935810489,0.0284786977812326,-0.0228570638405404,-0.00652195974052773,-0.0191178300445562,1.33194087328606,-0.0601268314170037,"2"
-0.0562460861074946,0.0821688818414955,0.0778244264350117,1.14688627863269,-0.133740130209964,-0.0219895101911144,-0.0692333980029494,-0.0213463007175504,1.30137989198208,-0.0650844674662011,"2"
0.0980446069764888,0.133964552106602,0.138410416125542,1.17837743581912,0.143305424795957,-0.0248067113346858,0.138657712577279,0.0657138279244947,1.29724991001177,0.165030680162356,"2"
0.0863504930681226,0.0857741026073422,-0.0237267864665814,1.21474035500697,0.0266005744318724,0.0565879375361447,0.038406550475409,0.0104371637062573,1.33243078798287,0.0898834917187326,"2"
-0.0225349207945368,0.089743447368263,0.0911460264345299,1.16734223156099,-0.00829203038671651,0.0136923669734098,-0.00581485645929347,-0.0522039552995173,1.34809021885264,-0.00941116820517504,"2"
0.00153781405319868,0.0297483256213237,-0.0327898983171843,1.19973331752659,-0.00734433371155941,-0.0183432256888795,-0.0223417015152636,-0.00594834785428755,1.3514137032519,0.0396686421675932,"2"
0.0468780409746927,-0.0494504785857462,-0.0438489386766621,1.1655627864719,-0.0274657095503121,-0.0323139776764829,-0.0479095464249455,-0.0184521562096348,1.25092542260024,0.0383640579124766,"2"
-0.0193141705431829,0.096223780542028,0.0927979120544348,1.16271012857818,-0.138541997224663,0.0128794092859685,-0.0405109955978455,-0.0127190824252313,1.30263041393259,-0.0425634447773005,"2"
-0.0473236723714043,0.0543118658413638,0.0801981263498757,1.15675914127312,-0.0716407606330303,-0.0284444196803132,-0.00930516487332031,-0.0129519841527249,1.27718917862513,-0.0816200996604704,"2"
-0.0314161087010232,-0.0261645278964455,-0.0686483788210925,1.12321488815023,-0.0351432924137931,-0.0625867439682414,-0.0273569026176302,0.027389532433321,1.27179328067911,-0.0265993798410051,"2"
-0.0307274296685318,-0.145101588388637,-0.181193668043712,1.10078136723644,-0.129634077213098,-0.0380157218380214,-0.0340934656770208,-0.00264710107407903,1.20166690078711,-0.0581273762146656,"2"
-0.0131476582525967,0.243449296891858,0.294948699835308,1.16336623993291,-0.0884935995532306,-0.0248201678100466,-0.0157839457427313,0.0156222179572527,1.23206448929571,0.0361297901115442,"2"
0.0903279382499055,0.309915955699979,0.285956495859793,1.14605174365717,-0.0370770711991345,-0.0118765461132058,0.0176867910354689,0.0358167817208978,1.36821175204522,0.0245130596790155,"2"
0.249959434103115,0.279983089659056,0.268700191554976,1.17110268302921,0.0370420993669216,-0.0270456973820997,0.00679319185459339,-0.00929394180863913,1.35189539419462,0.284835280179125,"2"
