"Alpha_P7","Beta_P7","Beta_P8","Theta_C4","Theta_O1","Gamma_C3","Gamma_FP2","Gamma_P7","b.g_P7","d.g_P8","Clas"
-0.0070760592816536,0.042938217946426,-0.0140207042257831,-0.0141079183310698,0.0517577715113369,0.0295413172095412,-0.000375420949113112,-0.00299096624732589,1.14133863715102,1.27323357469648,"1"
-0.259997185465079,-0.392559050042553,-0.325179996125623,-0.11814046510497,-0.249616693311449,-0.276247966834458,-0.0628063067015058,-0.439643978044308,1.15752258931987,2.0052108877204,"1"
0.0458431729869083,0.0487925328160359,-0.00231233125113662,-0.02359759857628,0.0217159761846633,0.067895637145568,0.0191001303172104,0.051101974302327,1.03744387477077,1.16451668626776,"1"
-0.0116902706232028,-0.0388042915280939,0.033328292101684,-0.0468267175994009,0.0325481157147544,-0.0448512669112594,-0.0118504280094662,-0.00580649154427794,1.03235805944239,1.30144588213254,"1"
0.0295642367439096,-0.00103918464359841,0.0134380948325567,0.111739011203181,0.0834554507785011,0.0154437301513439,0.046246230056183,-0.0264041510823773,1.06037691892265,1.1723075026528,"1"
0.0678645175268356,0.087036268862917,0.0528419248128587,0.0283030013777267,0.0652392567079444,0.127419902573716,0.0792175493215708,0.119753715048343,1.00934909658243,1.08552799433017,"1"
0.129834805612539,0.0642319524915873,0.0372046697179784,0.0361481751613256,0.0563410902261859,0.00741879333695235,0.0223892842010974,0.0612777148297338,1.09411325592028,1.20786237021458,"1"
-0.116784109247943,-0.0832395015715579,-0.0968770899297936,0.00853123364016907,-0.0990271976085527,-0.0634288930940157,0.0398659106428272,-0.0986387872493355,1.05110851113196,1.12760018473077,"1"
-0.0570665269886349,0.10601315354313,0.133834635747522,-0.0157260426164997,0.0512942626753236,0.0719350060314043,0.0780294775145047,0.115462564159305,1.05875322194058,1.38292907956404,"1"
0.0308003997738037,0.0027572074504264,-0.0653184523918664,0.00256637860788068,-0.108562808075541,-0.00696681132923345,0.164647116254083,-0.0202571848684222,1.04037586920252,1.19675399785861,"1"
0.0835281816915181,0.00679015251469865,0.0657190087128511,0.141064131248141,0.00554523318313032,0.0500005256235648,0.0914349526021565,0.00973378707456344,1.01353473255008,1.28401009082402,"1"
