"Alpha_P7","Theta_O1","Beta_P8","Alpha_C4","d-g_P8","Beta_C3","d-g_O2","Beta_P7","a-g_C4","Theta_C4","Gamma_P8","Alpha_P7.1","b-g_P7","Gamma_FP2","Gamma_C3","Gamma_P7","Clas"
-0.0376429873364931,-0.0165023939645955,0.00202289435962983,0.0556656381977316,1.25925319538791,-0.00812464022840372,1.2178548221515,-0.00239885062304807,1.16461678146878,0.0827999223893498,-0.0426630703683379,-0.0376429873364931,1.02377392352031,0.0333507435127637,0.0019265465835882,0.00703230727023765,"1"
0.0616463153554219,0.0675780697729624,0.0668121484305539,0.141483527045674,1.11617546215897,0.035256733357121,1.12863775678301,0.00921354283184688,1.13457440562586,0.064914245892213,0.0444975462505205,0.0616463153554219,1.0256141210647,0.0370123185332399,0.0303137857821404,0.0169265926826019,"1"
-0.114538433037495,-0.0529569109450202,-0.0195301373874602,-0.0768586207026145,1.08985154758017,-0.0299904311199158,1.19745910032382,-0.0297143885219539,0.935453643447613,0.0189272191613178,0.0346215477265344,-0.114538433037495,1.0402971143142,0.0469595517707928,-0.0142649403146111,-0.0360983499802082,"1"
-0.058923619954305,-0.115027405164745,0.0130938594483548,0.0499204848043744,1.11121044606222,-0.00485830235540727,1.05395366076443,-0.0090224398869172,1.08190780193667,-0.00400070834575381,0.00906356277061116,-0.058923619954305,1.08012765866962,0.0477305706363274,0.0133085654633968,-0.051845174849811,"1"
0.0409458738448267,0.0962725498814408,0.00340637568422798,-0.0173921923182242,1.15147632781134,0.0530946389512922,1.18619181211732,0.0449535873170946,0.97773013816058,0.0846749092486077,0.0399769969458391,0.0409458738448267,1.02204024067481,0.0940760674696485,0.0512580644677527,0.0566217154730739,"1"
-0.0812487971091776,0.00649063680257687,0.0129583031538907,-0.070514394948189,1.1483162162816,-0.0640859345189028,1.09207330535561,-0.0579924496991088,0.968071396946297,-0.0861663034195534,0.0110817739278599,-0.0812487971091776,1.00080023399706,-0.00827010513126844,0.0151131927512156,-0.0272583493705863,"1"
-0.0690120547947295,-0.113421772190941,0.00288504103901857,-0.0212579631773076,1.04024887971061,0.00824895339130826,1.15525287485361,-0.0287879301773973,1.01362126633899,0.00225861504121481,0.00666341947255755,-0.0690120547947295,1.04237374140415,-0.0640237282224628,0.00527588314355726,-0.0371001150201363,"1"
-0.0147743395865278,-0.0947967031704063,-0.011070726461903,-0.041753764904712,0.997706254445521,-0.0395819277328335,1.05740159246029,-0.0195900114879485,1.00579346613719,0.00207506417691163,-0.0149441687418929,-0.0147743395865278,1.02439437895357,0.0500957099337341,-0.00558974180089542,-0.0109208048006107,"1"
0.046089510607548,-0.0197171566658383,-0.0871180521905976,0.0179031216252625,1.22718444251058,-0.0607338939554491,1.24684264701642,-0.10369706444514,1.13649813474254,-0.0263847592977014,-0.0407872877123897,0.046089510607548,0.966573593600352,-0.035251584374154,-0.0592972426587346,-0.0416802934961011,"1"
-0.0339680983339981,-0.0518965713431484,-0.0435960270866183,-0.0495418987529955,1.18988795121797,0.0154195987442219,1.18403213783031,0.0153300868541919,0.991957615467045,-0.0799195207400159,0.00327287395004875,-0.0339680983339981,1.00197219395865,0.0589781722229328,0.0410196947021463,0.0472300904838696,"1"
-0.107993230818142,-0.0575664797152917,-0.0984649738023708,-0.0876349534102762,1.17061294396172,-0.0170813041460901,1.18658323746129,-0.0303975018670731,1.04746297679138,-0.047724318804177,-0.0756329559953772,-0.107993230818142,1.03091496442008,-0.0364801399368915,-0.0391597582750362,-0.0280108695892851,"1"
-0.0888546810981866,-0.0470829190003307,-0.0364707846218191,-0.0489260305627668,1.16604973754757,-0.034312539371107,1.20174336286316,-0.0235876788436117,0.990983360795632,-0.0021908766464727,0.0225932594789276,-0.0888546810981866,0.99227515777549,0.0204471170579008,0.0111680237947219,0.0169314031637828,"1"
-0.0388451783538644,-0.0435124982989499,0.0332234143048071,-0.0848157026920506,1.08101049047655,-0.0262319520046236,1.16528950834402,0.0157691472315273,0.974011012372285,-0.0586687545228875,0.0238080730953596,-0.0388451783538644,1.06748030282057,-0.0636089835030212,-0.00393920532012697,-0.0166102581762756,"1"
-0.0425588934003018,0.00665344501638287,0.0522184459198348,-0.01191438316863,1.17198089887723,-0.0286752574617001,1.17729141231515,-0.0693678500442314,1.04820563788647,-0.114396583143954,0.00927342701319859,-0.0425588934003018,0.999515213098085,0.0626724742116965,-0.012814771527952,-0.0377693877244381,"1"
-0.053496893825898,-0.0410777055402103,-0.0239532311320851,0.0255219854560383,1.11194955672711,0.003614739858209,1.15841239920439,-0.00997078282705202,1.08865326062314,-0.00624621780078053,0.00689986270909521,-0.053496893825898,1.02188891518383,0.162091514899768,0.0117247632836521,0.00123229516154929,"1"
-0.0682966345175585,-0.165653928488391,-0.0640619060979756,-0.0764347333956318,1.0793589431132,-0.023650361598406,1.06653546354034,-0.0598502240061784,1.02912814930801,-0.0826899636172393,-0.0593519905218195,-0.0682966345175585,0.983839976340793,0.000756124916550995,-0.0272763425257635,-0.0124408710721295,"1"
-0.0681006889514631,-0.0823499963452357,-0.0121461031770238,-0.0011122228063158,1.06425058973082,0.0154718316835827,1.01215677370917,-0.0296989601913367,1.05214892881685,-0.0207976025935843,0.00266232737162145,-0.0681006889514631,0.992990594404128,-0.0108612634302373,0.00188137598222269,0.00983841649285292,"1"
-0.0263048762728328,-0.120544195592012,-0.0731418717769649,-0.0997749022730287,1.11383808055092,-0.00873334487357002,1.16283072058116,-0.0581332895138591,0.980300412155905,-0.185552356243988,-0.0584344576699544,-0.0263048762728328,0.968023861169372,-0.0402811621271904,0.00179726714074216,0.00552740418203382,"1"
-0.04012872411906,-0.0793085396700287,-0.0388765114391064,-0.100885690038307,1.08578615268168,-0.0534046023182939,1.11293985614074,-0.0524694355115754,1.0126440538094,-0.110514377275243,-0.0275855249895531,-0.04012872411906,1.01033861121664,0.00396359239506876,-0.0705374438393398,-0.030792415931378,"1"
0.077706428728125,0.0288514563026417,0.0062694209751199,-0.0668802563622085,1.0583870501776,0.0437287107123851,1.130774351255,0.0137885052871253,0.968968486628767,0.0701542647793767,0.0134546766408416,0.077706428728125,1.04649122659915,-0.00860991066527629,0.0142265351504185,0.00115725136041381,"1"
