"Gamma_C3","Beta_P7","Beta_C4","Theta_O1","Gamma_O1","d.g_O2","Beta_P8","Theta_C4","Beta_O1","d.g_P8","Clas"
0.0019265465835882,-0.00239885062304807,0.00425239483473914,-0.0165023939645955,-0.0835239430138117,1.2178548221515,0.00202289435962983,0.0827999223893498,-0.0697985638492057,1.25925319538791,"1"
0.0303137857821404,0.00921354283184688,0.0653749709174675,0.0675780697729624,0.0858781133678995,1.12863775678301,0.0668121484305539,0.064914245892213,0.0654262702103428,1.11617546215897,"1"
-0.0142649403146111,-0.0297143885219539,-0.0126447258652765,-0.0529569109450202,0.00646399689859936,1.19745910032382,-0.0195301373874602,0.0189272191613178,-0.0169349936894387,1.08985154758017,"1"
0.0133085654633968,-0.0090224398869172,0.0301932822947511,-0.115027405164745,-0.0225685869869429,1.05395366076443,0.0130938594483548,-0.00400070834575381,-0.0305624963903663,1.11121044606222,"1"
0.0512580644677527,0.0449535873170946,0.0578199008628806,0.0962725498814408,0.0338223043024175,1.18619181211732,0.00340637568422798,0.0846749092486077,0.0187829674351995,1.15147632781134,"1"
0.0151131927512156,-0.0579924496991088,-0.0289817143577641,0.00649063680257687,0.012047742565702,1.09207330535561,0.0129583031538907,-0.0861663034195534,-0.0353649993805566,1.1483162162816,"1"
0.00527588314355726,-0.0287879301773973,0.017741789673661,-0.113421772190941,-0.0231141103247001,1.15525287485361,0.00288504103901857,0.00225861504121481,-0.0666053164218825,1.04024887971061,"1"
-0.00558974180089542,-0.0195900114879485,-0.0390423829529829,-0.0947967031704063,-0.00913294406377112,1.05740159246029,-0.011070726461903,0.00207506417691163,-0.029034693919463,0.997706254445521,"1"
-0.0592972426587346,-0.10369706444514,-0.0640972681784945,-0.0197171566658383,-0.017569892160134,1.24684264701642,-0.0871180521905976,-0.0263847592977014,-0.0906073424769789,1.22718444251058,"1"
0.0410196947021463,0.0153300868541919,-0.00249368883042822,-0.0518965713431484,0.00430431127223804,1.18403213783031,-0.0435960270866183,-0.0799195207400159,-0.0288526358931279,1.18988795121797,"1"
-0.0391597582750362,-0.0303975018670731,-0.0453130999504333,-0.0575664797152917,-0.0868037902898504,1.18658323746129,-0.0984649738023708,-0.047724318804177,-0.109622941816471,1.17061294396172,"1"
0.0111680237947219,-0.0235876788436117,-0.0315382835882302,-0.0470829190003307,-0.014380024247382,1.20174336286316,-0.0364707846218191,-0.0021908766464727,-0.0731272589096301,1.16604973754757,"1"
-0.00393920532012697,0.0157691472315273,-0.00518461444594731,-0.0435124982989499,-0.00978638110215813,1.16528950834402,0.0332234143048071,-0.0586687545228875,0.00684329123174819,1.08101049047655,"1"
-0.012814771527952,-0.0693678500442314,-0.0501039555299313,0.00665344501638287,-0.0293083148422289,1.17729141231515,0.0522184459198348,-0.114396583143954,-0.0513789550700521,1.17198089887723,"1"
0.0117247632836521,-0.00997078282705202,0.00104656540023149,-0.0410777055402103,-0.0282010964510112,1.15841239920439,-0.0239532311320851,-0.00624621780078053,-0.00991365715558139,1.11194955672711,"1"
-0.0272763425257635,-0.0598502240061784,-0.0329922234138818,-0.165653928488391,-0.0332139839770031,1.06653546354034,-0.0640619060979756,-0.0826899636172393,-0.0601207794317617,1.0793589431132,"1"
0.00188137598222269,-0.0296989601913367,0.0166104864327323,-0.0823499963452357,-0.0318021189119502,1.01215677370917,-0.0121461031770238,-0.0207976025935843,-0.0909855837256022,1.06425058973082,"1"
0.00179726714074216,-0.0581332895138591,-0.0632786872980541,-0.120544195592012,-0.0607576952792211,1.16283072058116,-0.0731418717769649,-0.185552356243988,-0.0674722598688546,1.11383808055092,"1"
-0.0705374438393398,-0.0524694355115754,-0.0219869706562711,-0.0793085396700287,-0.0395902037430624,1.11293985614074,-0.0388765114391064,-0.110514377275243,-0.042653539371151,1.08578615268168,"1"
0.0142265351504185,0.0137885052871253,-0.0046041424024875,0.0288514563026417,0.0153598981869409,1.130774351255,0.0062694209751199,0.0701542647793767,0.00717745659018035,1.0583870501776,"1"
0.0678730248913491,0.00480436178709388,0.0142131124420217,-0.0318321632690357,-0.00750400785255978,1.15233441549242,-0.0475080304666073,-0.0566171230897921,-0.0576489938111465,1.10259809178728,"1"
0.0149548338670488,0.0247344018269606,-0.0290907441185523,-0.00808207352172003,-0.00918587553815555,1.10616518077793,-0.0180216118296766,0.0289262195555845,-0.0149136603327446,1.0521861857309,"1"
0.0578388213673691,0.0162142664978907,0.00520745970088606,-0.0325520386266175,-0.0183050641877804,1.07496443891377,0.00941094366720814,0.0323655574237464,-0.039596588327822,1.14562615843754,"1"
-0.0108151345793156,-0.00709916673470505,-0.0483924316849239,0.0646251551701069,0.0201672678637471,1.2252289585601,0.0406000417806586,0.0893926376043948,0.00691959480370598,1.1224932180012,"1"
