"Theta_C4","Beta_P7","d.g_P8","Beta_P8","d.g_O2","Gamma_C3","Beta_C4","Delta_O1","Gamma_O1","Beta_O1","Clas"
-0.0141079183310698,0.042938217946426,1.27323357469648,-0.0140207042257831,1.15492736917995,0.0295413172095412,0.0270737124468039,0.0415222182392172,0.0360517146888794,-0.0184076207714521,"1"
-0.11814046510497,-0.392559050042553,2.0052108877204,-0.325179996125623,1.85581183594534,-0.276247966834458,-0.173592009800872,-0.340382894232241,-0.429582070395813,-0.329609126736518,"1"
-0.02359759857628,0.0487925328160359,1.16451668626776,-0.00231233125113662,1.09181818872074,0.067895637145568,0.0113194204097894,0.0334869204662775,0.0787529608014249,0.0648972563135874,"1"
-0.0468267175994009,-0.0388042915280939,1.30144588213254,0.033328292101684,1.22771006688963,-0.0448512669112594,0.0356750485620403,0.00171269825647681,-0.0462962276046219,-0.0849612987509551,"1"
0.111739011203181,-0.00103918464359841,1.1723075026528,0.0134380948325567,1.17435845135284,0.0154437301513439,0.0788911583494132,0.0529740133711733,-0.0046296575596265,0.017778831297883,"1"
0.0283030013777267,0.087036268862917,1.08552799433017,0.0528419248128587,1.06156666115353,0.127419902573716,0.0571382825305143,0.0479564260491007,0.131303587502085,0.0950184921351767,"1"
0.0361481751613256,0.0642319524915873,1.20786237021458,0.0372046697179784,1.18459264826039,0.00741879333695235,0.0145361715722964,0.0268468780292245,0.0315715278106028,0.0090356293882616,"1"
0.00853123364016907,-0.0832395015715579,1.12760018473077,-0.0968770899297936,1.16251893344281,-0.0634288930940157,-0.0262284559923514,-0.120430441583098,-0.0910180465911519,-0.0829292222990278,"1"
-0.0157260426164997,0.10601315354313,1.38292907956404,0.133834635747522,1.36143634682334,0.0719350060314043,-0.0131223122889548,0.0604613027576299,0.0363136185708677,0.0825065921461688,"1"
0.00256637860788068,0.0027572074504264,1.19675399785861,-0.0653184523918664,1.18897607851855,-0.00696681132923345,-0.0189871934766868,-0.0812888434904953,-0.0492413235892036,-0.0388553569099358,"1"
0.141064131248141,0.00679015251469865,1.28401009082402,0.0657190087128511,1.27105614962458,0.0500005256235648,0.0688540982836305,0.0519453893751951,0.0269181259401411,-0.0145108660017994,"1"
0.1309671119097,-0.0352812094450835,1.21918217137097,-0.0587257117455696,1.25375700605224,-0.0909186814423804,-0.0120224319207314,-0.0641421908181144,-0.0906068957975181,-0.0900070445074159,"1"
0.0867639330800368,-0.0286764399193543,1.19134314011755,-0.0259823671042608,1.19288219885136,-0.0146063350719723,-0.0121273830078698,0.027177078109787,-0.042028146909749,-0.0200316287640616,"1"
0.0438092440841462,0.02181941304249,1.39562776694677,0.0934521104455595,1.20250733433446,0.0694716921151055,0.108146091533418,-0.0176097188527695,0.00856410579018471,0.0373399094143641,"1"
-0.331530942111796,-0.374862014205152,1.35082402310969,-0.347682794617328,1.36599107198459,-0.357421532036777,-0.380551742510081,-0.223074240337708,-0.361506906514959,-0.377977491353735,"1"
-0.238834086052278,-0.112202133943874,1.41929957559071,0.214247252799758,1.42303485610829,-0.163521062356982,-0.193824367653664,0.0229391736737451,-0.0758913766855954,0.102098476940053,"1"
